"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10p","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C2","1","1n","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C3","1","120p","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C4","1","10u","","","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm",""
"C5,C6,C11","3","100n","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C7,C8","2","100u","","","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm",""
"C9,C10","2","18p","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1","1","1N4148","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"DS1","1","HY1602E","","","Display:HY1602E","http://www.icbank.com/data/ICBShop/board/HY1602E.pdf"
"J1","1","PJ-002AH","","","PJ-002AH:CUI_PJ-002AH",""
"J2","1","RCJ-014","","","RCJ-014:CUI_RCJ-014",""
"J3","1","RCJ-011","","","RCJ-011:CUI_RCJ-011",""
"L1","1","10m","","","Inductor_THT:L_Radial_L8.0mm_W8.0mm_P5.00mm_Neosid_NE-CPB-07E",""
"L2","1","1m","","","Inductor_THT:L_Radial_L8.0mm_W8.0mm_P5.00mm_Neosid_NE-CPB-07E",""
"Q1,Q3","2","BC548","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"Q2","1","BC558","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"R1,R3","2","270k","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","1","1M","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4,R8","2","10k","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","1","82k","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6","1","3.9k","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7,R10","2","1k","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R9","1","470","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R11","1","220","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"S1","1","1-1825027-2","","","1-1825027-2:SW_1-1825027-2",""
"U1","1","LM7805_TO220","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","ATmega328P-P","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"VR1","1","3296W-FM1-502","","","3296W-FM1-502:TRIM_3296W-FM1-502",""
"Y1","1","16 MHz","","","Crystal:Crystal_HC49-U_Vertical",""
